GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-Tong,com.maven.calculator.calculator_Tong,CalculatorBasicOperations,0,42,2,5,0,12,2,5,0,2
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},31,0,2,0,7,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},36,0,2,0,9,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},79,0,10,0,14,0,7,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},39,0,2,0,9,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},39,0,2,0,9,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},31,0,2,0,7,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},31,0,2,0,7,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},39,0,2,0,9,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},31,0,2,0,7,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},28,0,0,0,7,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},39,0,2,0,9,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},39,0,2,0,9,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,Main.new ActionListener() {...},30,0,2,0,8,0,3,0,2,0
calculator-Tong,com.maven.calculator.calculator_Tong,CalculatorAdvancedOperations,0,52,2,7,0,16,2,7,0,2
calculator-Tong,com.maven.calculator.calculator_Tong,Main,628,0,0,0,176,0,5,0,5,0
